Dropping files into 'email_shield/incoming' every 3 seconds...
Press Ctrl+C to stop.
[1] Generated: email_1_safe.txt (SAFE)
[2] Generated: email_2_safe.txt (SAFE)
[3] Generated: email_3_safe.txt (SAFE)
[4] Generated: email_4_phishing.txt (PHISHING)
[5] Generated: email_5_phishing.txt (PHISHING)
[6] Generated: email_6_safe.txt (SAFE)
[7] Generated: email_7_safe.txt (SAFE)
[8] Generated: email_8_phishing.txt (PHISHING)
[9] Generated: email_9_safe.txt (SAFE)
[10] Generated: email_10_safe.txt (SAFE)
[11] Generated: email_11_phishing.txt (PHISHING)
[12] Generated: email_12_phishing.txt (PHISHING)
[13] Generated: email_13_safe.txt (SAFE)
[14] Generated: email_14_phishing.txt (PHISHING)
[15] Generated: email_15_phishing.txt (PHISHING)
[16] Generated: email_16_safe.txt (SAFE)
[17] Generated: email_17_phishing.txt (PHISHING)
[18] Generated: email_18_phishing.txt (PHISHING)
[19] Generated: email_19_phishing.txt (PHISHING)
[20] Generated: email_20_phishing.txt (PHISHING)
[21] Generated: email_21_phishing.txt (PHISHING)
[22] Generated: email_22_phishing.txt (PHISHING)
[23] Generated: email_23_phishing.txt (PHISHING)
[24] Generated: email_24_safe.txt (SAFE)
[25] Generated: email_25_phishing.txt (PHISHING)
[26] Generated: email_26_safe.txt (SAFE)
[27] Generated: email_27_safe.txt (SAFE)
[28] Generated: email_28_phishing.txt (PHISHING)
[29] Generated: email_29_phishing.txt (PHISHING)
[30] Generated: email_30_phishing.txt (PHISHING)
[31] Generated: email_31_phishing.txt (PHISHING)
[32] Generated: email_32_phishing.txt (PHISHING)
[33] Generated: email_33_safe.txt (SAFE)
[34] Generated: email_34_safe.txt (SAFE)
[35] Generated: email_35_phishing.txt (PHISHING)
[36] Generated: email_36_phishing.txt (PHISHING)
[37] Generated: email_37_safe.txt (SAFE)
[38] Generated: email_38_phishing.txt (PHISHING)
[39] Generated: email_39_safe.txt (SAFE)
[40] Generated: email_40_safe.txt (SAFE)
[41] Generated: email_41_safe.txt (SAFE)
[42] Generated: email_42_safe.txt (SAFE)
[43] Generated: email_43_safe.txt (SAFE)
[44] Generated: email_44_safe.txt (SAFE)
[45] Generated: email_45_safe.txt (SAFE)
[46] Generated: email_46_phishing.txt (PHISHING)
[47] Generated: email_47_phishing.txt (PHISHING)
[48] Generated: email_48_safe.txt (SAFE)
[49] Generated: email_49_phishing.txt (PHISHING)
[50] Generated: email_50_phishing.txt (PHISHING)
[51] Generated: email_51_safe.txt (SAFE)
[52] Generated: email_52_safe.txt (SAFE)
[53] Generated: email_53_safe.txt (SAFE)
[54] Generated: email_54_phishing.txt (PHISHING)
[55] Generated: email_55_phishing.txt (PHISHING)
[56] Generated: email_56_phishing.txt (PHISHING)
[57] Generated: email_57_phishing.txt (PHISHING)
[58] Generated: email_58_safe.txt (SAFE)
[59] Generated: email_59_safe.txt (SAFE)
[60] Generated: email_60_phishing.txt (PHISHING)
[61] Generated: email_61_phishing.txt (PHISHING)
[62] Generated: email_62_phishing.txt (PHISHING)
[63] Generated: email_63_phishing.txt (PHISHING)
[64] Generated: email_64_phishing.txt (PHISHING)
[65] Generated: email_65_safe.txt (SAFE)
[66] Generated: email_66_safe.txt (SAFE)
[67] Generated: email_67_safe.txt (SAFE)
